Model	Tool Used	Tool version	Gene Set library 	Background List	Stat test used	FDR used	Tool Used	Tool version	Gene Set library 	Background List	Stat test used	FDR used	PMC ID
GPT-4.1-nano	GOSeq, KOBAS	Not described	GO, KEGG	Not described	Not described	Yes	1	1	1	1	1	1	PMC6329193
GPT-4.1-mini	GOSeq, KOBAS	Not described	GO, KEGG	Not described	Not described	Yes	1	1	1	1	1	1	PMC6329193
GPT-4.1	GOSeq, KOBAS	Not described	GO, KEGG	Not described	Not described	Yes	1	1	1	1	1	1	PMC6329193
Haiku3.5	KOBAS	Not described	GO, KEGG	Not described	Not described	Yes	0.5	1	1	1	1	1	PMC6329193
Sonnet4	GOSeq, KOBAS	Not described	GO, KEGG	Not described	Not described	Yes	1	1	1	1	1	1	PMC6329193
human	GOSeq, KOBAS	No	GO, KEGG	No	No	Yes							PMC6329193
deepseek-r1:70b	DAVID	Not described	GO, KEGG, Reactome	Not described	Not described	Not described	1	1	0.33	0	1	0	PMC6341764
gemma3:27b	DAVID	Not described	GO, KEGG	Not described	Hypergeometric test	Yes	1	1	0.5	0	0	1	PMC6341764
llama3.3:70b	DAVID	Not described	Not described	Not described	Not described	Not described	1	1	0	0	1	0	PMC6341764
mistral-small3.1:24b	DAVID	Not described	Not described	Not described	Not described	Not described	1	1	0	0	1	0	PMC6341764
phi4:14b	DAVID	Not described	GO	Not described	Not described	Yes	1	1	1	0	1	1	PMC6341764
qwen3:32b	DAVID	Not described	Not described	Not described	Not described	Not described	1	1	0	0	1	0	PMC6341764
qwq:32b	DAVID	Not described	Not described	Not described	Not described	Yes	1	1	0	0	1	1	PMC6341764
gpt-oss:20b	DAVID	Not described	GO	Not described	Not described	Not described	1	1	1	0	1	0	PMC6341764
GPT-4.1-nano	DAVID	Not described	Default	Yes	Not described	Yes	1	1	0	1	1	1	PMC6341764
GPT-4.1-mini	DAVID	Not described	GO	Yes	Not described	Not described	1	1	1	1	1	0	PMC6341764
GPT-4.1	DAVID	Not described	GO	Yes	Not described	FAILED	1	1	1	1	1	0	PMC6341764
Haiku3.5	DAVID	Not described	Not described	Not described	Not described	Not described	1	1	0	0	1	0	PMC6341764
Sonnet4	DAVID	Not described	Not described	Yes	Not described	Not described	1	1	0	1	1	0	PMC6341764
human	DAVID	No	GO	Yes	Not mentioned	Yes							PMC6341764
deepseek-r1:70b	Not described	Not described	Not described	Not described	Not described	Not described	0	1	0	1	1	1	PMC6350310
gemma3:27b	Not described	Not described	GO, KEGG	Not described	Hypergeometric test, Fisher's exact test	Yes	0	1	0.5	1	0	0	PMC6350310
llama3.3:70b	Not described	Not described	GO	Not described	Not described	Not described	0	1	1	1	1	1	PMC6350310
mistral-small3.1:24b	Not described	Not described	Not described	Not described	Not described	Not described	0	1	0	1	1	1	PMC6350310
phi4:14b	Not described	Not described	Not described	Not described	Not described	Not described	0	1	0	1	1	1	PMC6350310
qwen3:32b	GSEA	Not described	MSigDB	Yes	Fisher's exact test	Yes	0	1	0	0	0	0	PMC6350310
qwq:32b	Not described	Not described	GO	Not described	Not described	Not described	0	1	1	1	1	1	PMC6350310
gpt-oss:20b	ClueGO, Cytoscape	Yes	GO, KEGG, Reactome	Yes	Hypergeometric test, Fisher's exact test	Not described	1	0	0.33	0	0	1	PMC6350310
GPT-4.1-nano	ClueGO	Not described	GO, KEGG, GSEA, Uniprot, InterPro, Reactome, PROSITE, WIKIPathwaysHumanCYC	Not described	Not described	Not described	1	1	0.2	1	1	1	PMC6350310
GPT-4.1-mini	ClueGO	Not described	GO, KEGG, GSEA, Uniprot, InterPro, Reactome, PROSITE, WIKIPathwaysHumanCYC	Not described	Not described	Not described	1	1	0.2	1	1	1	PMC6350310
GPT-4.1	ClueGO	Not described	GO, KEGG, GSEA, Uniprot, InterPro, Reactome, PROSITE, WIKIPathwaysHumanCYC	Not described	Not described	Not described	1	1	0.2	1	1	1	PMC6350310
Haiku3.5	ClueGO	Not described	GO, KEGG, GSEA, Uniprot, InterPro, Reactome, PROSITE, WIKIPathwaysHumanCYC	Not described	Not described	Not described	1	1	0.2	1	1	1	PMC6350310
Sonnet4	ClueGO	Not described	GO, KEGG, GSEA, Uniprot, InterPro, Reactome, PROSITE, WIKIPathwaysHumanCYC	Not described	Not described	Not described	1	1	0.2	1	1	1	PMC6350310
human	ClueGO	No	GO	No	No	No							PMC6350310
deepseek-r1:70b	Piano	1.16	GO, KEGG, MSigDB	Yes	Fisher's exact test	Yes	1	1	0.67	1	1	1	PMC6370815
gemma3:27b	R, piano	Yes	GO, KEGG, MSigDB	Not described	Fisher's exact test	Yes	0.5	1	0.67	0	1	1	PMC6370815
llama3.3:70b	Piano, Fisher test	Yes	GO, KEGG, MSigDB	Yes	Fisher's exact test	Yes	0.5	1	0.67	1	1	1	PMC6370815
mistral-small3.1:24b	Piano	1.16.4	GO, KEGG	Not described	Fisher's exact test	Yes	1	1	1	0	1	1	PMC6370815
phi4:14b	MEV, Piano	Yes	GO, KEGG, MSigDB	Not described	Fisher's exact test	Yes	0.5	1	0.67	0	1	1	PMC6370815
qwen3:32b	GO, Piano	Yes	GO, KEGG	Yes	Fisher's exact test	Yes	0.5	1	1	1	1	1	PMC6370815
qwq:32b	R, piano, KEGG	Yes	GO, KEGG	Yes	Fisher's exact test	Yes	0.33	1	1	1	1	1	PMC6370815
gpt-oss:20b	Piano	Yes	GO, KEGG	Yes	Fisher's exact test	Yes	1	1	1	1	1	1	PMC6370815
GPT-4.1-nano	Piano	1.16.4	GO, KEGG, MSigB	Not described	Fisher's exact test	Yes	1	1	0.67	0	1	1	PMC6370815
GPT-4.1-mini	R, piano, KEGG	Yes	GO, KEGG, MSigB	Yes	Fisher's exact test	Yes	0.33	1	0.67	1	1	1	PMC6370815
GPT-4.1	piano, R	1.16.4	GO, KEGG, MSigB	Yes	Fisher's exact test	Yes	0.5	1	0.67	1	1	1	PMC6370815
Haiku3.5	Piano	1.16.4	GO, KEGG, MSigB	Yes	Fisher's exact test	Yes	1	1	0.67	1	1	1	PMC6370815
Sonnet4	Pano, KEGG website	1.16.4	GO, KEGG, MSigB	Yes	Fisher's exact test	Yes	0.5	1	0.67	1	1	1	PMC6370815
human	Piano for KEGG, Not mentioned for GO	Yes	GO, KEGG	Yes	Fisher's exact test	Yes							PMC6370815
deepseek-r1:70b	Metacore	Not described	GO	Not described	Not described	Yes	1	1	1	1	0	1	PMC6381748
gemma3:27b	Metacore	Not described	GO	Not described	Hypergeometric test	Yes	1	1	1	1	1	1	PMC6381748
llama3.3:70b	Metacore	Not described	GO	Not described	Not described	Yes	1	1	1	1	0	1	PMC6381748
mistral-small3.1:24b	Not described	Not described	Not described	Not described	Not described	Not described	0	1	0	1	0	0	PMC6381748
phi4:14b	Not described	Not described	Not described	Not described	Not described	Not described	0	1	0	1	0	0	PMC6381748
qwen3:32b	Metacore	Not described	GO	Not described	Not described	Yes	1	1	1	1	0	1	PMC6381748
qwq:32b	Metacore	Not described	GO	Not described	Not described	Yes	1	1	1	1	0	1	PMC6381748
gpt-oss:20b	Metacore	Not described	GO	Not described	Not described	Yes	1	1	1	1	0	1	PMC6381748
GPT-4.1-nano	Metacore	Not described	GO	Not described	Hypergeometric test	Yes	1	1	1	1	1	1	PMC6381748
GPT-4.1-mini	Metacore	Not described	GO	Not described	Hypergeometric test	Yes	1	1	1	1	1	1	PMC6381748
GPT-4.1	Metacore	Not described	GO	Not described	Hypergeometric test	Yes	1	1	1	1	1	1	PMC6381748
Haiku3.5	Metacore	Not described	GO	Not described	Hypergeometric test	Yes	1	1	1	1	1	1	PMC6381748
Sonnet4	Metacore	Not described	GO	Not described	Hypergeometric test	Yes	1	1	1	1	1	1	PMC6381748
human	Metacore	No	GO	No	Hypergeometric test	Yes							PMC6381748
deepseek-r1:70b	DAVID	Yes	GO	Yes	Hypergeometric test	Yes	1	1	1	1	1	1	PMC6385435
gemma3:27b	DAVID	Yes	GO	Yes	Hypergeometric test	Yes	1	1	1	1	1	1	PMC6385435
llama3.3:70b	DAVID	Yes	GO	Yes	Hypergeometric test	Yes	1	1	1	1	1	1	PMC6385435
mistral-small3.1:24b	DAVID, GO	Not described	GO	Yes	Hypergeometric test	Yes	1	0	1	1	1	1	PMC6385435
phi4:14b	DAVID	Yes	GO	Yes	Hypergeometric test	Yes	1	1	1	1	1	1	PMC6385435
qwen3:32b	DAVID	Yes	GO	Yes	Hypergeometric test	Yes	1	1	1	1	1	1	PMC6385435
qwq:32b	DAVID	Yes	GO	Yes	Hypergeometric test	Yes	1	1	1	1	1	1	PMC6385435
gpt-oss:20b	DAVID	6.8	GO	Yes	Hypergeometric test	Yes	1	1	1	1	1	1	PMC6385435
GPT-4.1-nano	DAVID	6.8	GO	Yes	Hypergeometric test	Yes	1	1	1	1	1	1	PMC6385435
GPT-4.1-mini	TR-enrich, DAVID	6.8 for david	GO	Yes	Hypergeometric test	Yes	0.5	1	1	1	1	1	PMC6385435
GPT-4.1	DAVID, Apache commons JAVA script	6.8	GO	Yes	Hypergeometric test	Yes	0.5	1	1	1	1	1	PMC6385435
Haiku3.5	DAVID, in house JAVA script	6.8	GO	Yes	Hypergeometric test	Yes	0.5	1	1	1	1	1	PMC6385435
Sonnet4	DAVID, in house JAVA script	6.8	GO	Yes	Hypergeometric test	Yes	0.5	1	1	1	1	1	PMC6385435
human	DAVID	Yes	GO	Yes	Hypergeometric test	Yes							PMC6385435
deepseek-r1:70b	MAGMA	Not described	Not described	Not described	Not described	Yes	1	0	0	1	0	1	PMC6420656
gemma3:27b	MAGMA	Not described	GO, KEGG	Yes	Hypergeometric test	Yes	1	0	0	0	0	1	PMC6420656
llama3.3:70b	Not described	Not described	Not described	Not described	Not described	Yes	0	0	0	1	0	1	PMC6420656
mistral-small3.1:24b	Not described	Not described	Not described	Not described	Not described	Yes	0	0	0	1	0	1	PMC6420656
phi4:14b	Not described	Not described	Not described	Not described	Not described	Yes	0	0	0	1	0	1	PMC6420656
qwen3:32b	clusterProfiler	Not described	MSigDB	Yes	Fisher's exact test	Yes	0	0	0	0	0	1	PMC6420656
qwq:32b	clusterProfiler, Enrichr	only clusterprofiler	MSigDB	Not described	Hypergeometric test	Yes	0	0	0	1	0	1	PMC6420656
gpt-oss:20b	MAGMA	Not described	ATC drug classes	Not described	Mann-Whitney-Wilcoxon	Yes	1	0	1	1	1	1	PMC6420656
GPT-4.1-nano	MAGMA	1.06	Not described	Not described	Mann-Whitney-Wilcoxon	Yes	1	1	0	1	1	1	PMC6420656
GPT-4.1-mini	MAGMA	1.06	Drug gene sets	Not described	Mann-Whitney-Wilcoxon	Yes	1	1	1	1	1	1	PMC6420656
GPT-4.1	MAGMA	1.06	Drug gene sets	Not described	Mann-Whitney-Wilcoxon	Yes	1	1	1	1	1	1	PMC6420656
Haiku3.5	MAGMA	1.06	Not described	Not described	Mann-Whitney-Wilcoxon	Yes	1	1	0	1	1	1	PMC6420656
Sonnet4	MAGMA	1.06	Drug gene sets	Not described	Mann-Whitney-Wilcoxon	Yes	1	1	1	1	1	1	PMC6420656
human	MAGMA	1.06	Drug gene sets	No	Mann–Whitney–Wilcoxon	Yes							PMC6420656
deepseek-r1:70b	GSEA	Not described	GO, KEGG	Not described	Not described	Not described	1	1	1	0	1	0	PMC6438902
gemma3:27b	GO, KEGG	Not described	GO, KEGG	Not described	Hypergeometric test	Yes	0	1	1	0	0	1	PMC6438902
llama3.3:70b	GSEA	Not described	GO, KEGG	Not described	Not described	Not described	1	1	1	0	1	0	PMC6438902
mistral-small3.1:24b	Not described	Not described	Not described	Not described	Not described	Not described	0	1	0	0	1	0	PMC6438902
phi4:14b	GO, DAVID	Not described	GO	Yes	Not described	Yes	0	1	0.5	1	1	1	PMC6438902
qwen3:32b	Not described	Not described	Not described	Not described	Not described	Not described	0	1	0	0	1	0	PMC6438902
qwq:32b	Not described	Not described	Not described	Not described	Not described	Not described	0	1	0	0	1	0	PMC6438902
gpt-oss:20b	GSEA	Not described	GO, KEGG	Not described	Not described	Not described	1	1	1	0	1	0	PMC6438902
GPT-4.1-nano	GSEA	Not described	GO, gene fams, plantCyc, KEGG, miRNA targets	Not described	Not described	Yes	1	1	0.5	0	1	1	PMC6438902
GPT-4.1-mini	GSEA	Not described	GO, gene fams, plantCyc, KEGG, miRNA targets	Yes	Fisher's exact test	Yes	1	1	0.5	1	0	1	PMC6438902
GPT-4.1	GSEA	Not described	GO, gene fams, plantCyc, KEGG, miRNA targets	Yes	Fisher's exact test	Yes	1	1	0.5	1	0	1	PMC6438902
Haiku3.5	GSEA	Not described	GO, KEGG, miRNA targets, functional modules	Not described	Fisher's exact test	Yes	1	1	0.5	0	1	1	PMC6438902
Sonnet4	GSEA	Not described	GO, gene fams, plantCyc, KEGG, miRNA targets, functional modules	Yes	Fisher's exact test	Yes	1	1	0.5	1	1	1	PMC6438902
human	GSEA	No	GO, KEGG	Yes	Not described	Yes							PMC6438902
deepseek-r1:70b	Not described	Not described	Not described	Not described	Not described	Not described	0	1	0	0	0	0	PMC6495254
gemma3:27b	Not described	Not described	Not described	Not described	Not described	Not described	0	1	0	0	0	0	PMC6495254
llama3.3:70b	Not described	Not described	Not described	Not described	Not described	Not described	0	1	0	0	0	0	PMC6495254
mistral-small3.1:24b	Not described	Not described	Not described	Not described	Not described	Not described	0	1	0	0	0	0	PMC6495254
phi4:14b	Not described	Not described	Not described	Not described	Not described	Not described	0	1	0	0	0	0	PMC6495254
qwen3:32b	Not described	Not described	Not described	Not described	Not described	Not described	0	1	0	0	0	0	PMC6495254
qwq:32b	Not described	Not described	Not described	Not described	Not described	Not described	0	1	0	0	0	0	PMC6495254
gpt-oss:20b	STRING	Not described	Not described	Not described	Fisher's exact test	Not described	0	1	0	0	1	0	PMC6495254
GPT-4.1-nano	Perseus (fisher test)	Not described	GO, CORUM, Interpro	Yes	Fisher's exact test	Yes	1	1	0.75	1	1	1	PMC6495254
GPT-4.1-mini	Perseus, Fisher's exact test, STRING	Yes for STRING	GO, UniProt keywords, Pfam, InterPro,  CORUM	Not described	Fisher's exact test	Yes	0.5	0.5	1	0	1	1	PMC6495254
GPT-4.1	Perseus	Not described	GO, UniProt keywords, Pfam, InterPro,  CORUM	Yes	Fisher's exact test	Yes	1	1	1	1	1	1	PMC6495254
Haiku3.5	Perseus	Not described	GO, UniProt keywords, Pfam, InterPro,  CORUM	Not described	Fisher's exact test	Yes	1	1	1	0	1	1	PMC6495254
Sonnet4	Perseus	Not described	GO, UniProt keywords, Pfam, InterPro,  CORUM	Yes	Fisher's exact test	Yes	1	1	1	1	1	1	PMC6495254
human	Perseus	No	GO, UniProt keywords, Pfam, InterPro,  CORUM	Yes	Fisher's exact test	Yes							PMC6495254
deepseek-r1:70b	MetaboAnalyst	4	Not described	Not described	Not described	Not described	1	1	1	1	1	0	PMC6521312
gemma3:27b	MetaboAnalyst	4	Not described	Not described	Hypergeometric test	Yes	1	1	1	1	0	1	PMC6521312
llama3.3:70b	MetaboAnalyst	4	Not described	Not described	Not described	Not described	1	1	1	1	1	0	PMC6521312
mistral-small3.1:24b	MetaboAnalyst	Not described	Not described	Not described	Not described	Not described	1	0	1	1	1	0	PMC6521312
phi4:14b	MetaboAnalyst	4	Not described	Not described	Not described	Not described	1	1	1	1	1	0	PMC6521312
qwen3:32b	MetaboAnalyst	4	Not described	Not described	Not described	Not described	1	1	1	1	1	0	PMC6521312
qwq:32b	MetaboAnalyst	4	Not described	Not described	Not described	Not described	1	1	1	1	1	0	PMC6521312
gpt-oss:20b	MetaboAnalyst	4	Not described	Not described	Not described	Not described	1	1	1	1	1	0	PMC6521312
GPT-4.1-nano	MetaboAnalyst	Not described	Not described	Not described	Not described	Yes	1	0	1	1	1	1	PMC6521312
GPT-4.1-mini	MetaboAnalyst	4	Not described	Not described	Not described	Yes	1	1	1	1	1	1	PMC6521312
GPT-4.1	MetaboAnalyst	4	Not described	Not described	Not described	Yes	1	1	1	1	1	1	PMC6521312
Haiku3.5	MetaboAnalyst	4	Not described	Not described	Not described	Yes	1	1	1	1	1	1	PMC6521312
Sonnet4	MetaboAnalyst	4	Not described	Not described	Not described	Yes	1	1	1	1	1	1	PMC6521312
human	MetaboAnalyst, MetPA	Yes	No	No	Not mentioned	Yes							PMC6521312
deepseek-r1:70b	BLAST all	Not described	KEGG	Not described	Q-val calc	Not described	1	1	0.25	1	0	0	PMC6537181
gemma3:27b	BLAST all	Not described	KEGG	Not described	Q-val	Yes	1	1	0.25	1	0	1	PMC6537181
llama3.3:70b	BLAST all, OmicShare	Not described	KEGG, GO, COG	Not described	Not described	Yes	1	1	0.75	1	1	1	PMC6537181
mistral-small3.1:24b	Not described	Not described	KEGG	Not described	Not described	Not described	0	1	0.25	1	1	0	PMC6537181
phi4:14b	Not described	Not described	KEGG	Not described	Hypergeometric test	Yes	0	1	0.25	1	0	1	PMC6537181
qwen3:32b	BLAST all	Not described	KEGG	Not described	Not described	Yes	1	1	0.25	1	1	1	PMC6537181
qwq:32b	Not described	Not described	KEGG	Not described	Not described	Yes	0	1	0.25	1	1	1	PMC6537181
gpt-oss:20b	BLAST	Not described	KEGG	Not described	Not described	Not described	1	1	0.25	1	1	0	PMC6537181
GPT-4.1-nano	BLAST	Not described	KEGG	Not described	Not described	Not described	1	1	0.25	1	1	0	PMC6537181
GPT-4.1-mini	BLAST all	Not described	KEGG	Not described	Not described	Yes	1	1	0.25	1	1	1	PMC6537181
GPT-4.1	BLAST all	Not described	KEGG	Not described	Not described	Yes	1	1	0.25	1	1	1	PMC6537181
Haiku3.5	Not described	Not described	KEGG	Not described	Not described	Yes	0	1	0.25	1	1	1	PMC6537181
Sonnet4	BLAST all, OmicShare	Not described	KEGG	Not described	Not described	Yes	1	1	0.25	1	1	1	PMC6537181
human	BLAST all	No	GO, KEGG, UniProt, COG	No	Not mentioned	Yes							PMC6537181
deepseek-r1:70b	Not described	Not described	KEGG, Reactome	Not described	Not described	Not described	0	0	0.2	1	1	0	PMC6539991
gemma3:27b	Not described	Not described	GO, KEGG, Reactome, MSigDB	Not described	Hypergeometric test	Yes	0	0	0.33	1	0	1	PMC6539991
llama3.3:70b	Not described	Not described	KEGG	Not described	Not described	Not described	0	0	0.33	1	1	0	PMC6539991
mistral-small3.1:24b	Not described	Not described	KEGG	Not described	Not described	Not described	0	0	0.33	1	1	0	PMC6539991
phi4:14b	DAVID, KEGG, Reactome	Not described	GO, KEGG, Reactome	Not described	Hypergeometric test	Yes	0	0	0.5	1	0	1	PMC6539991
qwen3:32b	Not described	Not described	KEGG	Not described	Not described	Not described	0	0	0.33	1	1	0	PMC6539991
qwq:32b	DAVID	6.8	GO, KEGG	Not described	Hypergeometric test	Yes	0	0	0.67	1	0	1	PMC6539991
gpt-oss:20b	clusterProfiler	Not described	GO	Not described	Not described	Yes	0	0	0.33	1	1	1	PMC6539991
GPT-4.1-nano	ToppGene	Not described	KEGG, Biocarta	Not described	Not described	Yes	0.5	0	0.67	1	1	1	PMC6539991
GPT-4.1-mini	ToppGene	Not described	KEGG, Biocarta	Not described	Not described	Yes	0.5	0	0.67	1	1	1	PMC6539991
GPT-4.1	ToppGene	Not described	KEGG, Biocarta	Not described	Not described	Yes	0.5	0	0.67	1	1	1	PMC6539991
Haiku3.5	ToppGene	Not described	KEGG	Not described	Not described	Yes	0.5	0	0.33	1	1	1	PMC6539991
Sonnet4	ToppGene	Not described	KEGG, Biocarta	Not described	Not described	Yes	0.5	0	0.67	1	1	1	PMC6539991
human	WEB-based Gene SeT AnaLysis Toolkit, ToppGene	Yes	GO, KEGG, Biocarta	No	Not mentioned	Yes							PMC6539991
deepseek-r1:70b	PANTHER, Reactome	Not described	GO, KEGG, Reactome	Not described	Hypergeometric test	Not described	0.25	1	0.5	0	0	0	PMC6562070
